Enter loan amount, for example 120000.95: 10000.65
Enter number of years as an integer, 
for example 5: 5
Interest Rate       Monthly Payment     Total Payment       
5.000%               188.72             11323.48
5.125%               189.30             11357.87
5.250%               189.87             11392.33
5.375%               190.45             11426.85
5.500%               191.02             11461.44
5.625%               191.60             11496.09
5.750%               192.18             11530.81
5.875%               192.76             11565.59
6.000%               193.34             11600.43
6.125%               193.92             11635.34
6.250%               194.51             11670.32
6.375%               195.09             11705.35
6.500%               195.67             11740.45
6.625%               196.26             11775.62
6.750%               196.85             11810.84
6.875%               197.44             11846.14
7.000%               198.02             11881.49
7.125%               198.62             11916.91
7.250%               199.21             11952.39
7.375%               199.80             11987.94
7.500%               200.39             12023.55
7.625%               200.99             12059.22
7.750%               201.58             12094.96
7.875%               202.18             12130.76
8.000%               202.78             12166.63
