Enter investment amount, for example 100: 12319.82
Enter yearly interest rate, for example 5.25: 9.5
Years        Future Value
1                13542.53
2                14886.60
3                16364.05
4                17988.15
5                19773.43
6                21735.89
7                23893.13
8                26264.46
9                28871.15
10               31736.54
11               34886.31
12               38348.70
13               42154.71
14               46338.46
15               50937.45
16               55992.86
17               61550.02
18               67658.71
19               74373.67
20               81755.08
21               89869.08
22               98788.37
23              108592.87
24              119370.45
25              131217.68
26              144240.72
27              158556.26
28              174292.59
29              191590.71
30              210605.62
