Feet    Meters              Meters      Feet
---------------------------------------------
 1.0     0.305                20.0    65.574
 2.0     0.610                25.0    81.967
 3.0     0.915                30.0    98.361
 4.0     1.220                35.0   114.754
 5.0     1.525                40.0   131.148
 6.0     1.830                45.0   147.541
 7.0     2.135                50.0   163.934
 8.0     2.440                55.0   180.328
 9.0     2.745                60.0   196.721
10.0     3.050                65.0   213.115
